sample_id,max_lateral_g__05mps,max_accel_g__05mps,max_brake_g__05mps,ggv_area_g2__05mps,max_lateral_g__10mps,max_accel_g__10mps,max_brake_g__10mps,ggv_area_g2__10mps,max_lateral_g__15mps,max_accel_g__15mps,max_brake_g__15mps,ggv_area_g2__15mps,max_lateral_g__20mps,max_accel_g__20mps,max_brake_g__20mps,ggv_area_g2__20mps,max_lateral_g__25mps,max_accel_g__25mps,max_brake_g__25mps,ggv_area_g2__25mps,mean_max_lateral_g,mean_max_accel_g,mean_max_brake_g,mean_ggv_area_g2
1,1.4400000000000002,1.295,1.4400000000000002,5.190133333333334,1.4933333333333334,1.2775,1.5,5.5312,1.6,1.2425,1.62,6.047866666666667,1.7066666666666668,1.2075,1.76,6.831066666666667,1.866666666666667,0.9624999999999999,1.9400000000000002,7.362,1.6213333333333335,1.1969999999999998,1.652,6.192453333333335
2,1.7066666666666668,1.2425,1.54,7.008400000000001,1.76,1.2249999999999999,1.62,7.387599999999999,1.866666666666667,1.1724999999999999,1.7800000000000002,8.196533333333333,2.026666666666667,1.1199999999999999,2.0000000000000004,9.336133333333335,2.1866666666666665,1.0499999999999998,2.2600000000000002,10.764666666666667,1.9093333333333333,1.162,1.8400000000000003,8.538666666666668
3,1.4400000000000002,1.6624999999999999,1.5,6.060133333333333,1.4933333333333334,1.645,1.54,6.277466666666666,1.5466666666666666,1.505,1.62,6.573599999999999,1.6,1.085,1.7000000000000002,6.335066666666667,1.7066666666666668,0.8049999999999999,1.8399999999999999,6.2536,1.5573333333333335,1.3405,1.64,6.299973333333332
4,1.3866666666666667,1.9075,1.7800000000000002,6.054000000000001,1.4400000000000002,1.9425000000000001,1.8800000000000001,6.637333333333333,1.5466666666666666,1.9075,2.02,7.659066666666668,1.7066666666666668,1.5925,2.22,8.679333333333336,1.866666666666667,1.1724999999999999,2.46,9.682266666666669,1.5893333333333337,1.7045000000000001,2.072,7.742400000000001
5,1.4400000000000002,1.3825,1.7200000000000002,5.3428,1.4933333333333334,1.3475,1.7800000000000002,5.671733333333335,1.5466666666666666,1.3125,1.8600000000000003,6.165333333333334,1.6533333333333335,1.2075,1.98,6.843466666666666,1.8133333333333332,0.8749999999999999,2.14,7.329333333333334,1.5893333333333335,1.225,1.8960000000000004,6.270533333333334
6,1.5466666666666666,1.2775,1.7200000000000002,5.718266666666667,1.6,1.3125,1.76,5.980266666666668,1.6533333333333335,1.365,1.8200000000000003,6.392666666666666,1.7066666666666668,1.4175,1.9000000000000001,7.0048,1.8133333333333332,1.4875,2.02,7.798000000000002,1.6640000000000001,1.372,1.844,6.578800000000001
7,1.3866666666666667,1.4,1.6400000000000001,5.6312,1.4933333333333334,1.3825,1.76,6.1286666666666685,1.6,1.33,1.9200000000000002,7.000266666666667,1.76,1.2775,2.16,8.208933333333334,1.9733333333333334,1.0150000000000001,2.46,9.480933333333336,1.6426666666666665,1.281,1.9880000000000002,7.290000000000001
8,1.5466666666666666,1.3825,1.8800000000000001,6.741466666666667,1.6,1.365,1.9400000000000002,7.022400000000001,1.6533333333333335,1.33,2.02,7.2662666666666675,1.7066666666666668,1.295,2.14,7.743866666666667,1.8133333333333332,1.1724999999999999,2.3000000000000003,8.208266666666667,1.6640000000000001,1.309,2.056,7.3964533333333335
9,1.6533333333333335,1.3125,1.6400000000000001,6.857466666666668,1.7066666666666668,1.295,1.6800000000000002,7.173066666666667,1.76,1.26,1.76,7.616,1.866666666666667,1.2249999999999999,1.8800000000000001,8.338133333333332,2.026666666666667,1.085,2.02,8.994933333333336,1.8026666666666666,1.2354999999999998,1.796,7.795920000000001
10,1.4400000000000002,1.47,1.56,5.347200000000002,1.4933333333333334,1.505,1.62,5.573999999999999,1.5466666666666666,1.575,1.6800000000000002,6.083733333333333,1.6533333333333335,1.2075,1.8,6.601866666666667,1.76,0.9099999999999999,1.9200000000000002,6.9981333333333335,1.5786666666666667,1.3335000000000001,1.716,6.120986666666667
11,1.6533333333333335,1.645,2.02,8.387733333333333,1.7066666666666668,1.6275,2.06,8.613733333333336,1.76,1.6099999999999999,2.12,9.217866666666666,1.866666666666667,1.26,2.22,9.271600000000001,1.9733333333333334,0.945,2.3600000000000003,9.407733333333335,1.7920000000000003,1.4175,2.156,8.979733333333334
12,1.4933333333333334,1.2425,1.8800000000000001,6.226933333333333,1.6,1.2075,1.98,6.7752,1.76,1.1724999999999999,2.16,7.912266666666669,1.9733333333333334,1.1025,2.4,9.3836,2.2399999999999998,0.9099999999999999,2.68,11.085333333333331,1.8133333333333332,1.127,2.2199999999999998,8.276666666666667
13,1.6,1.4875,1.58,6.705200000000001,1.6533333333333335,1.47,1.6400000000000001,7.0724,1.76,1.4525000000000001,1.74,7.665466666666667,1.866666666666667,1.4,1.8800000000000001,8.495066666666668,1.9733333333333334,1.3475,2.06,9.583733333333333,1.7706666666666666,1.4315000000000002,1.78,7.904373333333334
14,1.4400000000000002,1.8375,1.6,6.532533333333333,1.4933333333333334,1.8199999999999998,1.6800000000000002,7.0414666666666665,1.6,1.575,1.8200000000000003,7.637066666666667,1.7066666666666668,1.1199999999999999,2.02,7.944800000000001,1.9200000000000002,0.8225,2.2600000000000002,8.718399999999999,1.6320000000000001,1.435,1.8760000000000001,7.574853333333334
15,1.4933333333333334,1.5574999999999999,1.4200000000000002,5.906266666666665,1.5466666666666666,1.54,1.4600000000000002,6.153066666666668,1.6,1.5225,1.54,6.546933333333333,1.6533333333333335,1.47,1.6400000000000001,7.056933333333334,1.76,1.2775,1.76,7.463866666666668,1.610666666666667,1.4735,1.564,6.6254133333333325
16,1.6,1.2249999999999999,1.54,6.5012,1.7066666666666668,1.2075,1.62,6.974000000000001,1.8133333333333332,1.1724999999999999,1.76,7.819866666666667,2.026666666666667,1.1375,1.9200000000000002,9.017600000000002,2.2399999999999998,1.085,2.16,10.604,1.8773333333333333,1.1655,1.8,8.183333333333334
17,1.6,1.085,1.62,5.586666666666667,1.6533333333333335,1.0675000000000001,1.7000000000000002,6.044933333333334,1.8133333333333332,1.0325,1.8200000000000003,6.8041333333333345,1.9733333333333334,0.98,2.0000000000000004,7.800266666666667,2.1333333333333333,0.9275000000000001,2.22,9.12026666666667,1.8346666666666667,1.0185,1.8720000000000003,7.071253333333334
18,1.5466666666666666,1.4175,1.9000000000000001,6.563600000000001,1.6533333333333335,1.4875,2.02,7.342533333333333,1.8133333333333332,1.6275,2.2,8.713199999999999,1.9733333333333334,1.3475,2.4400000000000004,10.341733333333332,2.2399999999999998,0.98,2.7600000000000002,11.726799999999999,1.8453333333333333,1.3720000000000003,2.2640000000000002,8.937573333333331
19,1.2266666666666668,1.47,1.8399999999999999,5.420400000000001,1.28,1.505,1.9200000000000002,5.716800000000001,1.3866666666666667,1.47,2.06,6.5336,1.4933333333333334,1.4175,2.2399999999999998,7.389600000000002,1.6533333333333335,1.0675000000000001,2.46,8.2348,1.408,1.3859999999999997,2.104,6.65904
20,1.4933333333333334,1.47,1.8,6.5856,1.4933333333333334,1.4525000000000001,1.8399999999999999,6.773466666666668,1.5466666666666666,1.4349999999999998,1.9000000000000001,7.221466666666666,1.6533333333333335,1.4,2.0000000000000004,7.774133333333335,1.76,1.3125,2.12,8.543733333333334,1.5893333333333333,1.4140000000000001,1.932,7.3796800000000005
21,1.4400000000000002,1.4875,1.6800000000000002,6.4097333333333335,1.4933333333333334,1.4525000000000001,1.76,6.7696000000000005,1.5466666666666666,1.4,1.8800000000000001,7.2358666666666664,1.6533333333333335,1.3475,2.06,8.003866666666667,1.76,1.0325,2.3000000000000003,8.2088,1.5786666666666667,1.3439999999999999,1.9360000000000004,7.325573333333333
22,1.4933333333333334,1.4175,1.58,5.9076,1.5466666666666666,1.4,1.6400000000000001,6.217466666666668,1.6,1.365,1.7200000000000002,6.682666666666667,1.7066666666666668,1.3125,1.8399999999999999,7.400400000000001,1.8133333333333332,1.26,2.0000000000000004,8.166933333333334,1.6320000000000001,1.351,1.7560000000000002,6.875013333333333
23,1.5466666666666666,1.645,1.26,5.561066666666668,1.6,1.6275,1.34,6.124,1.7066666666666668,1.5925,1.4800000000000002,7.033333333333334,1.9200000000000002,1.5574999999999999,1.6600000000000001,8.338666666666668,2.1333333333333333,1.3825,1.8800000000000001,9.780666666666667,1.7813333333333332,1.5610000000000002,1.524,7.367546666666668
24,1.5466666666666666,1.6800000000000002,1.7000000000000002,6.738666666666666,1.6,1.6624999999999999,1.74,7.1492,1.7066666666666668,1.5925,1.8399999999999999,7.788800000000001,1.8133333333333332,1.155,1.98,7.966666666666668,1.9733333333333334,0.8575,2.14,8.406133333333333,1.7280000000000002,1.3895000000000002,1.8800000000000001,7.609893333333335
25,1.4933333333333334,1.1375,2.02,6.2976,1.6,1.1199999999999999,2.12,6.781066666666666,1.7066666666666668,1.085,2.28,7.628533333333333,1.866666666666667,1.0325,2.4800000000000004,8.865600000000002,2.026666666666667,0.8749999999999999,2.7800000000000002,10.273866666666668,1.738666666666667,1.05,2.336,7.969333333333334
26,1.4400000000000002,1.1375,1.8,5.671333333333332,1.4933333333333334,1.1199999999999999,1.8600000000000003,6.086933333333334,1.6533333333333335,1.085,1.98,6.786133333333334,1.76,1.0499999999999998,2.14,7.742933333333333,1.9200000000000002,1.0150000000000001,2.3400000000000003,8.946266666666668,1.6533333333333335,1.0815000000000001,2.024,7.0467200000000005
27,1.4933333333333334,1.5225,1.8,5.893733333333334,1.4933333333333334,1.5574999999999999,1.8600000000000003,6.210933333333333,1.5466666666666666,1.5225,1.9200000000000002,6.691600000000001,1.6533333333333335,1.295,2.0400000000000005,7.1936,1.76,0.945,2.16,7.425466666666667,1.5893333333333333,1.3685,1.9560000000000002,6.683066666666667
28,1.76,1.4175,1.7800000000000002,7.678666666666667,1.8133333333333332,1.4175,1.8399999999999999,8.072266666666668,1.9200000000000002,1.3825,1.9200000000000002,8.651066666666667,2.026666666666667,1.155,2.0400000000000005,9.10186666666667,2.1866666666666665,0.8749999999999999,2.2,9.5136,1.9413333333333334,1.2495,1.9560000000000002,8.603493333333333
29,1.6,1.4875,1.98,6.760266666666666,1.6533333333333335,1.5574999999999999,2.08,7.497466666666667,1.76,1.6624999999999999,2.2399999999999998,8.6436,1.9200000000000002,1.54,2.4800000000000004,10.126666666666669,2.1333333333333333,1.155,2.7600000000000002,11.630133333333333,1.8133333333333332,1.4805,2.3080000000000003,8.931626666666668
30,1.4933333333333334,1.7325,1.4800000000000002,6.1948,1.5466666666666666,1.715,1.54,6.576399999999999,1.6,1.6800000000000002,1.62,7.135066666666666,1.7066666666666668,1.4525000000000001,1.76,7.645466666666667,1.866666666666667,1.085,1.9200000000000002,7.7397333333333345,1.642666666666667,1.533,1.6640000000000001,7.058293333333333
31,1.6,1.8375,1.6600000000000001,6.548933333333333,1.6533333333333335,1.9075,1.76,7.2048000000000005,1.8133333333333332,1.645,1.9200000000000002,8.165466666666665,1.9733333333333334,1.155,2.16,8.952666666666667,2.2399999999999998,0.8400000000000001,2.4400000000000004,10.046933333333333,1.8560000000000003,1.477,1.9880000000000002,8.18376
32,1.6533333333333335,1.2249999999999999,1.62,6.621733333333333,1.7066666666666668,1.2075,1.7200000000000002,7.2144,1.866666666666667,1.1724999999999999,1.8800000000000001,8.150400000000001,2.026666666666667,1.1375,2.1,9.5304,2.2933333333333334,1.085,2.38,11.3596,1.9093333333333333,1.1655,1.94,8.575306666666666
33,1.4400000000000002,1.295,1.5,4.947600000000001,1.4933333333333334,1.3475,1.56,5.302533333333334,1.6,1.4175,1.6400000000000001,5.9444,1.7066666666666668,1.3825,1.76,6.804666666666667,1.866666666666667,1.26,1.9000000000000001,7.781466666666667,1.6213333333333335,1.3405,1.672,6.156133333333333
34,1.4400000000000002,1.7499999999999998,1.52,5.647733333333333,1.4933333333333334,1.8025,1.6,6.231199999999999,1.6,1.7675,1.74,7.170400000000001,1.76,1.3125,1.9200000000000002,7.803600000000001,1.9733333333333334,0.9624999999999999,2.18,8.335866666666666,1.653333333333333,1.5190000000000001,1.7920000000000003,7.0377600000000005
35,1.6533333333333335,1.365,1.5,6.580666666666667,1.7066666666666668,1.33,1.58,7.012666666666668,1.8133333333333332,1.295,1.7000000000000002,7.775466666666667,1.9733333333333334,1.2425,1.8800000000000001,8.886266666666668,2.1866666666666665,1.19,2.12,10.345600000000001,1.8666666666666667,1.2845,1.7560000000000002,8.120133333333333
36,1.4933333333333334,1.4,1.8800000000000001,5.870133333333333,1.5466666666666666,1.4525000000000001,1.98,6.4341333333333335,1.7066666666666668,1.5574999999999999,2.14,7.444666666666667,1.866666666666667,1.4875,2.3600000000000003,8.944400000000002,2.08,1.085,2.6600000000000006,10.254933333333332,1.738666666666667,1.3965,2.2039999999999997,7.789653333333334
37,1.5466666666666666,1.2249999999999999,1.4400000000000002,5.715466666666668,1.6,1.2075,1.5,6.035200000000001,1.7066666666666668,1.19,1.6,6.5356000000000005,1.8133333333333332,1.1375,1.74,7.211866666666666,1.9200000000000002,1.085,1.9200000000000002,8.047333333333334,1.7173333333333336,1.169,1.6400000000000001,6.709093333333334
38,1.4933333333333334,1.4,1.6800000000000002,5.667599999999999,1.4933333333333334,1.4175,1.74,6.017733333333332,1.6,1.47,1.8399999999999999,6.540800000000002,1.7066666666666668,1.4349999999999998,2.0000000000000004,7.411333333333333,1.8133333333333332,1.0325,2.2,7.901200000000002,1.6213333333333335,1.3509999999999998,1.8920000000000001,6.707733333333334
39,1.4933333333333334,1.2775,1.6600000000000001,5.922933333333335,1.5466666666666666,1.26,1.7200000000000002,6.190666666666667,1.6,1.2249999999999999,1.8,6.6164000000000005,1.6533333333333335,1.1375,1.9200000000000002,7.152800000000001,1.76,0.8225,2.08,7.304666666666668,1.610666666666667,1.1445,1.8359999999999999,6.637493333333334
40,1.5466666666666666,1.6800000000000002,1.6400000000000001,6.845466666666668,1.6,1.6624999999999999,1.6800000000000002,7.048000000000001,1.6533333333333335,1.6275,1.74,7.475466666666668,1.76,1.54,1.8399999999999999,8.062666666666669,1.866666666666667,1.1375,1.96,8.1452,1.6853333333333331,1.5295,1.7719999999999998,7.515360000000001
41,1.7066666666666668,1.33,1.62,7.185866666666667,1.76,1.295,1.6800000000000002,7.510666666666668,1.8133333333333332,1.26,1.7800000000000002,8.053866666666668,1.9200000000000002,1.155,1.9200000000000002,8.702000000000002,2.026666666666667,0.8225,2.1,8.644400000000001,1.8453333333333333,1.1724999999999999,1.8199999999999998,8.01936
42,1.5466666666666666,1.7850000000000001,2.2,8.525466666666667,1.6533333333333335,1.7675,2.2600000000000002,9.045866666666667,1.76,1.715,2.38,9.926799999999998,1.866666666666667,1.6099999999999999,2.56,11.00066666666667,2.026666666666667,1.19,2.7600000000000002,11.631600000000002,1.7706666666666666,1.6134999999999997,2.432,10.026080000000002
43,1.6533333333333335,1.4525000000000001,1.74,7.003466666666668,1.7066666666666668,1.4349999999999998,1.8399999999999999,7.550133333333333,1.866666666666667,1.3825,2.0000000000000004,8.486533333333336,2.026666666666667,1.33,2.22,9.888933333333334,2.2399999999999998,1.1724999999999999,2.52,11.473066666666668,1.8986666666666667,1.3545000000000003,2.064,8.880426666666668
44,1.4933333333333334,1.085,1.3599999999999999,4.944133333333333,1.5466666666666666,1.0499999999999998,1.4600000000000002,5.342266666666666,1.6533333333333335,1.0150000000000001,1.6,5.997066666666666,1.8133333333333332,0.945,1.8200000000000003,7.051466666666667,2.026666666666667,0.8749999999999999,2.08,8.318133333333334,1.7066666666666666,0.994,1.6640000000000001,6.330613333333334
45,1.6533333333333335,1.0325,1.4400000000000002,5.9384,1.7066666666666668,1.0150000000000001,1.5,6.2452,1.76,0.98,1.58,6.697466666666667,1.9200000000000002,0.9275000000000001,1.7200000000000002,7.383466666666667,2.026666666666667,0.8575,1.9000000000000001,8.232933333333333,1.8133333333333332,0.9625000000000001,1.6280000000000001,6.899493333333334
46,1.4933333333333334,1.4525000000000001,1.38,5.436000000000001,1.5466666666666666,1.4525000000000001,1.4400000000000002,5.744933333333334,1.6,1.3825,1.5,6.195733333333333,1.7066666666666668,0.98,1.6,6.292000000000002,1.8133333333333332,0.7,1.74,6.404666666666667,1.6320000000000001,1.1935,1.532,6.014666666666668
47,1.5466666666666666,1.6099999999999999,2.22,7.8548,1.6,1.5925,2.3000000000000003,8.448133333333335,1.76,1.575,2.46,9.518,1.9200000000000002,1.505,2.6600000000000006,10.8504,2.08,1.1375,2.9200000000000004,12.048133333333334,1.7813333333333332,1.484,2.512,9.743893333333334
48,1.4933333333333334,1.54,1.6600000000000001,5.765733333333333,1.4933333333333334,1.575,1.7200000000000002,6.130533333333333,1.6,1.6275,1.8200000000000003,6.694133333333334,1.6533333333333335,1.4,1.9400000000000002,7.290800000000001,1.76,1.0325,2.12,7.534800000000001,1.6,1.435,1.8520000000000003,6.683199999999999
