candidate_id,label,source,compound,tire_size,rim,pressure_psi,is_candidate,path,max_lateral_g__05mps,max_accel_g__05mps,max_brake_g__05mps,ggv_area_g2__05mps,max_lateral_g__10mps,max_accel_g__10mps,max_brake_g__10mps,ggv_area_g2__10mps,max_lateral_g__15mps,max_accel_g__15mps,max_brake_g__15mps,ggv_area_g2__15mps,max_lateral_g__20mps,max_accel_g__20mps,max_brake_g__20mps,ggv_area_g2__20mps,max_lateral_g__25mps,max_accel_g__25mps,max_brake_g__25mps,ggv_area_g2__25mps,mean_max_lateral_g,mean_max_accel_g,mean_max_brake_g,mean_ggv_area_g2,fz_min_seen_n,fz_max_seen_n,fz_range_exceeded,fz_max_excess_pct,use_mode,fnomin_n,fzmin_n,fzmax_n,unloaded_radius_m,width_m,rim_width_m,vertical_stiffness_n_per_m,vertical_damping_n_s_per_m,pdy1,pdy2,pky1,pky2,pky3,mu_y_400n,mu_y_ref,mu_y_900n,mu_y_1090n,mu_y_900n_vs_400n_pct,cornering_stiffness_ref_n_per_rad,cornering_stiffness_900n_n_per_rad,score_part_mean_max_lateral_g,score_part_max_lateral_g__25mps,score_part_mean_ggv_area_g2,score_part_ggv_area_g2__25mps,envelope_lateral_score,rank
current_hybrid_reference,current hybrid reference,current_reference,R20_hybrid,16x7p5_10,7in,12.0,0,vehicles/current/tires/16x7p5_10_12psi.tir,1.602857142857143,1.4466666666666668,1.6811111111111112,6.773501587301588,1.6514285714285715,1.4155555555555555,1.7566666666666668,7.201955555555555,1.7485714285714287,1.3844444444444444,1.8888888888888893,7.98012380952381,1.8942857142857144,1.3377777777777777,2.058888888888889,9.076326984126984,2.0885714285714285,1.0733333333333333,2.285555555555556,9.935231746031747,1.7971428571428572,1.3315555555555554,1.9342222222222225,8.193427936507936,185.43673411613923,1397.444329894622,0,0.0,14.0,650.0,100.0,1800.0,0.2032,0.1905,0.1778,100000.0,100.0,-2.40275,0.343535,-53.2421,2.38205,1.36502,2.5348788461538465,2.40275,2.270621153846154,2.170203230769231,-10.424864790230467,24703.16761776363,30071.91906456482,0.34482758620689663,0.28571428571428537,0.41348956844812745,0.3589415591535396,0.33880429068996215,
Round_8_Hoosier_LC0_16x6_10_on_6in_10psi_PAC02_UM2,LC0 16x6_10 on 6in 10 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,6in,10.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_6in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.602857142857143,1.4466666666666668,1.6811111111111112,6.841717460317461,1.7000000000000002,1.4155555555555555,1.7566666666666668,7.276539682539683,1.7971428571428572,1.3844444444444444,1.8888888888888893,8.108892063492064,1.942857142857143,1.3377777777777777,2.058888888888889,9.242387301587302,2.137142857142857,1.0733333333333333,2.285555555555556,10.131298412698412,1.8359999999999999,1.3315555555555554,1.9342222222222225,8.320166984126985,181.84308597056935,1398.713874012077,1,27.97016230668591,3.0,657.0,100.0,1093.0,0.2026,0.15,0.1524,83185.0,100.343,-2.51186,0.225972,-42.6337,1.55987,0.891157,2.600253917808219,2.51186,2.428281315068493,2.3629317260273974,-6.613684977530325,25452.96604503691,27775.69737737404,0.48275862068965464,0.428571428571428,0.5253501000285802,0.4917217937940853,0.47378750226546856,19
Round_8_Hoosier_LC0_16x6_10_on_6in_12psi_PAC02_UM2,LC0 16x6_10 on 6in 12 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,6in,12.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_6in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.5057142857142858,1.4466666666666668,1.6811111111111112,6.461403174603175,1.5542857142857143,1.4155555555555555,1.7566666666666668,6.87388253968254,1.7000000000000002,1.3844444444444444,1.8888888888888893,7.621126984126985,1.7971428571428572,1.3377777777777777,2.058888888888889,8.680631746031747,1.9914285714285715,1.0733333333333333,2.285555555555556,9.57035238095238,1.7097142857142855,1.3315555555555554,1.9342222222222225,7.8414793650793655,189.30097306378394,1394.3501584067421,1,27.687743443840855,3.0,655.0,100.0,1092.0,0.2032,0.15,0.1524,88439.0,103.463,-2.25676,0.296078,-44.0371,2.02391,0.654835,2.3720270076335876,2.25676,2.1460132671755723,2.0601280458015268,-9.528295408554142,22910.45655001821,26808.67373707244,0.03448275862068911,0.0,0.10285795941697645,0.11183801761631429,0.042129737053488,30
Round_8_Hoosier_LC0_16x6_10_on_6in_14psi_PAC02_UM2,LC0 16x6_10 on 6in 14 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,6in,14.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_6in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.5057142857142858,1.4466666666666668,1.6811111111111112,6.361076190476192,1.5542857142857143,1.4155555555555555,1.7566666666666668,6.773609523809525,1.6514285714285715,1.3844444444444444,1.8888888888888893,7.5103841269841265,1.7971428571428572,1.3377777777777777,2.058888888888889,8.574422222222221,1.9914285714285715,1.0733333333333333,2.285555555555556,9.405209523809525,1.7,1.3315555555555554,1.9342222222222225,7.724940317460318,192.89462120935383,1392.5255310363177,1,27.40398271146548,3.0,657.0,100.0,1093.0,0.2045,0.15,0.1524,95444.0,107.483,-2.24012,0.188155,-46.8331,2.27,0.875029,2.3137209665144596,2.24012,2.1705284246575345,2.1161152587519028,-6.188842299019302,22703.576202766177,27222.718132992057,0.0,0.0,0.0,0.0,0.0,32
Round_8_Hoosier_LC0_16x6_10_on_6in_8psi_PAC02_UM2,LC0 16x6_10 on 6in 8 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,6in,8.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_6in_8psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.602857142857143,1.4466666666666668,1.6811111111111112,6.879495238095239,1.7000000000000002,1.4155555555555555,1.7566666666666668,7.354955555555555,1.7971428571428572,1.3844444444444444,1.8888888888888893,8.142730158730158,1.942857142857143,1.3377777777777777,2.058888888888889,9.275523809523808,2.137142857142857,1.0733333333333333,2.285555555555556,10.156879365079364,1.8359999999999999,1.3315555555555554,1.9342222222222225,8.361916825396825,181.84308597056935,1398.713874012077,1,28.08735110000705,3.0,655.0,100.0,1092.0,0.2009,0.15,0.1524,72152.0,93.452,-2.49238,0.323841,-37.2722,1.1592,0.813539,2.6184555038167936,2.49238,2.3712486335877863,2.277310022900763,-9.440942183996102,24149.292072365017,24064.59835852225,0.48275862068965464,0.428571428571428,0.5621987234447938,0.5090457220130833,0.4810471885998004,17
Round_8_Hoosier_LC0_16x6_10_on_7in_10psi_PAC02_UM2,LC0 16x6_10 on 7in 10 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,7in,10.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_7in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.602857142857143,1.4466666666666668,1.6811111111111112,6.883488888888889,1.7000000000000002,1.4155555555555555,1.7566666666666668,7.357977777777779,1.7971428571428572,1.3844444444444444,1.8888888888888893,8.157949206349205,1.942857142857143,1.3377777777777777,2.058888888888889,9.297380952380953,2.137142857142857,1.0733333333333333,2.285555555555556,10.234323809523811,1.8359999999999999,1.3315555555555554,1.9342222222222225,8.386224126984127,181.84308597056935,1398.713874012077,1,28.20475472154693,3.0,656.0,100.0,1091.0,0.2021,0.15,0.1778,85287.0,105.242,-2.52968,0.259553,-52.7865,1.94584,1.07293,2.630968975609756,2.52968,2.433138945121951,2.3579635335365854,-7.51928404788413,28155.582723743388,32616.02405941974,0.48275862068965464,0.428571428571428,0.5836524721348955,0.5614926355030893,0.4895099422523162,14
Round_8_Hoosier_LC0_16x6_10_on_7in_12psi_PAC02_UM2,LC0 16x6_10 on 7in 12 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,7in,12.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_7in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.5542857142857143,1.4466666666666668,1.6811111111111112,6.582885714285715,1.602857142857143,1.4155555555555555,1.7566666666666668,6.999736507936508,1.7000000000000002,1.3844444444444444,1.8888888888888893,7.750219047619049,1.8457142857142856,1.3377777777777777,2.058888888888889,8.819168253968254,2.04,1.0733333333333333,2.285555555555556,9.652653968253967,1.7485714285714287,1.3315555555555554,1.9342222222222225,7.960932698412698,189.30097306378394,1395.6197025241975,1,27.570356720676184,3.0,659.0,100.0,1094.0,0.2026,0.15,0.1778,90365.0,108.33,-2.27989,0.348219,-51.5531,2.26809,1.00544,2.4167469362670713,2.27989,2.1525443566009104,2.052147376327769,-10.93215742622397,25082.040001137306,30026.707743132923,0.1724137931034487,0.14285714285714268,0.20828808230923074,0.16757428456562098,0.16844399055664144,26
Round_8_Hoosier_LC0_16x6_10_on_7in_14psi_PAC02_UM2,LC0 16x6_10 on 7in 14 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,7in,14.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_7in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.5057142857142858,1.4466666666666668,1.6811111111111112,6.408784126984128,1.5542857142857143,1.4155555555555555,1.7566666666666668,6.823853968253969,1.6514285714285715,1.3844444444444444,1.8888888888888893,7.559441269841269,1.7971428571428572,1.3377777777777777,2.058888888888889,8.635460317460321,1.9914285714285715,1.0733333333333333,2.285555555555556,9.5268,1.7,1.3315555555555554,1.9342222222222225,7.790867936507938,189.30097306378394,1393.7950751537728,1,27.753902397229407,3.0,656.0,100.0,1091.0,0.2037,0.15,0.1778,95969.0,111.639,-2.26501,0.210542,-55.3194,2.60899,1.0732,2.3471727317073174,2.26501,2.1866986463414637,2.1257184939024394,-6.836909921372764,24255.434226652673,29898.447403114154,0.0,0.0,0.05818805372963841,0.082343481597894,0.01696255621923516,31
Round_8_Hoosier_LC0_16x6_10_on_7in_8psi_PAC02_UM2,LC0 16x6_10 on 7in 8 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,7in,8.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_7in_8psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.602857142857143,1.4466666666666668,1.6811111111111112,6.90108253968254,1.7000000000000002,1.4155555555555555,1.7566666666666668,7.375895238095239,1.7971428571428572,1.3844444444444444,1.8888888888888893,8.16647619047619,1.942857142857143,1.3377777777777777,2.058888888888889,9.290095238095235,2.137142857142857,1.0733333333333333,2.285555555555556,10.162060317460316,1.8359999999999999,1.3315555555555554,1.9342222222222225,8.379121904761904,181.84308597056935,1399.2689572650465,1,27.90392662386166,3.0,659.0,100.0,1094.0,0.2005,0.15,0.1778,74954.0,98.6612,-2.47522,0.381234,-47.3033,1.63328,1.00631,2.6250524825493176,2.47522,2.3358005857359636,2.2258848649468894,-11.018899573864795,27764.19641834319,30680.4910258798,0.48275862068965464,0.428571428571428,0.5773840144803272,0.5125543657030066,0.4836758466241227,15
Round_8_Hoosier_LC0_16x7p5_10_on_7in_10psi_PAC02_UM2,LC0 16x7p5_10 on 7in 10 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,7in,10.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_7in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.6514285714285715,1.4466666666666668,1.6811111111111112,7.061044444444445,1.7485714285714287,1.4155555555555555,1.7566666666666668,7.558415873015873,1.8457142857142856,1.3844444444444444,1.8888888888888893,8.380298412698412,2.04,1.3377777777777777,2.058888888888889,9.541317460317462,2.2342857142857144,1.0733333333333333,2.285555555555556,10.517711111111112,1.904,1.3315555555555554,1.9342222222222225,8.61175746031746,181.84308597056935,1400.5385013825016,1,28.371998293538187,3.0,656.0,100.0,1091.0,0.2057,0.19,0.1778,87739.0,108.252,-2.66799,0.21475,-50.9447,1.97855,1.49888,2.7517948780487806,2.66799,2.5881134756097564,2.525914542682927,-5.948168729606988,26908.30778052163,31298.387808364758,0.7241379310344824,0.7142857142857146,0.782709345527293,0.7534081356675562,0.732894998647081,8
Round_8_Hoosier_LC0_16x7p5_10_on_7in_12psi_PAC02_UM2,LC0 16x7p5_10 on 7in 12 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,7in,12.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_7in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.5057142857142858,1.4466666666666668,1.6811111111111112,6.472520634920636,1.602857142857143,1.4155555555555555,1.7566666666666668,6.939561904761905,1.7000000000000002,1.3844444444444444,1.8888888888888893,7.689612698412699,1.8457142857142856,1.3377777777777777,2.058888888888889,8.763796825396826,2.04,1.0733333333333333,2.285555555555556,9.613796825396824,1.738857142857143,1.3315555555555554,1.9342222222222225,7.895857777777778,189.30097306378394,1394.3501584067421,1,27.687743443840855,3.0,656.0,100.0,1092.0,0.2062,0.19,0.1778,93167.0,111.55,-2.29972,0.233708,-53.4328,2.64147,1.35744,2.3909231219512197,2.29972,2.212792024390244,2.1451022073170734,-7.450306366003267,23212.828058188043,28675.52145956528,0.1379310344827596,0.14285714285714268,0.15085262455939763,0.14125945689119368,0.14167994774741363,28
Round_8_Hoosier_LC0_16x7p5_10_on_7in_14psi_PAC02_UM2,LC0 16x7p5_10 on 7in 14 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,7in,14.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_7in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.5057142857142858,1.4466666666666668,1.6811111111111112,6.4335015873015875,1.602857142857143,1.4155555555555555,1.7566666666666668,6.89676507936508,1.7000000000000002,1.3844444444444444,1.8888888888888893,7.642930158730159,1.8457142857142856,1.3377777777777777,2.058888888888889,8.679228571428572,2.04,1.0733333333333333,2.285555555555556,9.59447619047619,1.738857142857143,1.3315555555555554,1.9342222222222225,7.8493803174603185,189.30097306378394,1394.3501584067421,1,27.80478078888562,3.0,656.0,100.0,1091.0,0.2074,0.19,0.1778,97721.0,114.244,-2.31779,0.137898,-54.745,2.80363,1.50707,2.3716038536585367,2.31779,2.2664986707317074,2.226558701219512,-4.431818693694966,22727.336828992713,28357.189026646378,0.1379310344827596,0.14285714285714268,0.10983138039439913,0.1281751397975209,0.1342183294132966,29
Round_8_Hoosier_LC0_16x7p5_10_on_7in_8psi_PAC02_UM2,LC0 16x7p5_10 on 7in 8 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,7in,8.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_7in_8psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.6514285714285715,1.4466666666666668,1.6811111111111112,7.042533333333333,1.7485714285714287,1.4155555555555555,1.7566666666666668,7.493168253968254,1.8457142857142856,1.3844444444444444,1.8888888888888893,8.344301587301587,1.9914285714285715,1.3377777777777777,2.058888888888889,9.501866666666666,2.185714285714286,1.0733333333333333,2.285555555555556,10.44852380952381,1.8845714285714288,1.3315555555555554,1.9342222222222225,8.566078730158731,181.84308597056935,1400.5385013825016,1,28.254441518544105,3.0,656.0,100.0,1092.0,0.2039,0.19,0.1778,77406.0,101.678,-2.60928,0.285186,-45.6002,1.61754,1.3621,2.7205720975609755,2.60928,2.5032047195121954,2.4206051158536583,-7.989767234753768,26759.307465537542,29512.678014749654,0.6551724137931042,0.571428571428572,0.7423930646851489,0.7065531230583675,0.6482704296440776,12
Round_8_Hoosier_LC0_16x7p5_10_on_8in_10psi_PAC02_UM2,LC0 16x7p5_10 on 8in 10 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,8in,10.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_8in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.6514285714285715,1.4466666666666668,1.6811111111111112,7.0602888888888895,1.7485714285714287,1.4155555555555555,1.7566666666666668,7.55539365079365,1.8457142857142856,1.3844444444444444,1.8888888888888893,8.37727619047619,2.04,1.3377777777777777,2.058888888888889,9.536784126984129,2.2342857142857144,1.0733333333333333,2.285555555555556,10.50508253968254,1.904,1.3315555555555554,1.9342222222222225,8.606965079365079,181.84308597056935,1400.5385013825016,1,28.371998293538187,3.0,657.0,100.0,1091.0,0.2042,0.19,0.2032,87914.0,110.066,-2.66031,0.22176,-56.7924,2.28097,1.23063,2.747056301369863,2.66031,2.578289178082192,2.514157671232877,-6.143562591109351,27441.99571011765,32937.37533654139,0.7241379310344824,0.7142857142857146,0.7784795655901682,0.7448558166733673,0.7314052997570935,9
Round_8_Hoosier_LC0_16x7p5_10_on_8in_12psi_PAC02_UM2,LC0 16x7p5_10 on 8in 12 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,8in,12.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_8in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.5542857142857143,1.4466666666666668,1.6811111111111112,6.563780952380953,1.602857142857143,1.4155555555555555,1.7566666666666668,6.985866666666667,1.7000000000000002,1.3844444444444444,1.8888888888888893,7.731869841269841,1.8457142857142856,1.3377777777777777,2.058888888888889,8.81031746031746,2.04,1.0733333333333333,2.285555555555556,9.648984126984127,1.7485714285714287,1.3315555555555554,1.9342222222222225,7.94816380952381,189.30097306378394,1395.6197025241975,1,27.804002062655446,3.0,657.0,100.0,1092.0,0.2047,0.19,0.2032,91766.0,112.452,-2.28868,0.31465,-60.9384,3.26168,1.13736,2.4117622678843227,2.28868,2.172302602739726,2.081307929984779,-9.928825420867819,22440.299383702368,28587.17463355294,0.1724137931034487,0.14285714285714268,0.1970181956749549,0.16508899528525933,0.1665049786334639,27
Round_8_Hoosier_LC0_16x7p5_10_on_8in_14psi_PAC02_UM2,LC0 16x7p5_10 on 8in 14 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,8in,14.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_8in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1.5542857142857143,1.4466666666666668,1.6811111111111112,6.575761904761905,1.602857142857143,1.4155555555555555,1.7566666666666668,7.002003174603176,1.7000000000000002,1.3844444444444444,1.8888888888888893,7.755831746031746,1.8457142857142856,1.3377777777777777,2.058888888888889,8.85484126984127,2.04,1.0733333333333333,2.285555555555556,9.752711111111111,1.7485714285714287,1.3315555555555554,1.9342222222222225,7.988229841269842,189.30097306378394,1395.6197025241975,1,27.921145969220664,3.0,657.0,100.0,1091.0,0.2057,0.19,0.2032,95969.0,114.998,-2.36017,0.193832,-58.8393,3.13478,1.23579,2.4359916499238965,2.36017,2.288478712328767,2.232423796042618,-6.055560067282574,22385.561098118444,28368.483635565462,0.1724137931034487,0.14285714285714268,0.2323806801943416,0.23533496582727187,0.17883394836557315,24
