brand,combined_overlay,cornering_runs,donor_lateral_mu_nominal,donor_longitudinal_mu_nominal,donor_tire_key,drive_runs,fx_combined_nrmse,fx_combined_points,fx_combined_rmse_n,fy_combined_nrmse,fy_combined_points,fy_combined_rmse_n,fzmax_n,fzmin_n,fznom_n,generated_tir,lateral_mu_nominal,lateral_nrmse,lateral_overlay,lateral_points,lateral_relaxation_blocks,lateral_relaxation_sigma_rmse_m,lateral_relaxation_source,lateral_rmse_n,longitudinal_combined_source,longitudinal_mu_scale,longitudinal_nrmse,longitudinal_overlay,longitudinal_points,longitudinal_relaxation_source,longitudinal_rmse_n,longitudinal_stiffness_scale,model,pressure_psi,pty1,pty2,relaxation_overlay,relaxation_source,rim_width_in,sha256,sigma_alpha_m,sigma_kappa_m,size,transient_run,use_mode
Hoosier,,"4,5,6",2.7916472748751286,2.3874547169187004,Hoosier_43100_18p0x6p0_10_r20_7in,,0.04625253861541251,4500,197.45463123881987,0.06153047346657869,4500,96.08232630223804,1242.1652000000001,199.99,677.36,Round_9_Hoosier_43075_16x7p5_10_r20_7in_8psi_MF52_UM14.tir,2.700720988633619,0.01547116467680222,plots/overlays/Hoosier_43075_16x7p5_10_r20_7in_8psi_lateral.png,5000,0,nan,"transient_step_steer_pressure_extrapolated_from:10,12,14",74.71532103070959,scaled_18in_hoosier_long_combined,0.9674291637558055,0.02318021397199719,,5000,reference_radius_mu_scaled_no_round9_longitudinal_transient,116.59216475934709,1.0017713418032146,43075,8.0,20.0,19.999999999999915,,"lat:transient_step_steer_pressure_extrapolated_from:10,12,14;long:reference_radius_mu_scaled_no_round9_longitudinal_transient",7.0,e3cb4d7aa2359a40994b958638ce8fab745f2d713f56bae9181d1c84baef1869,0.4096227864648617,0.20735435732303395,16x7.5-10 R20,2,14
Hoosier,,"4,5,6",2.7174027582650844,2.309294295909162,Hoosier_43100_18p0x6p0_10_r20_7in,,0.03724784575578408,4500,154.0151862194477,0.054905512639615066,4500,78.91412850980852,1217.5422000000003,198.40099999999998,662.225,Round_9_Hoosier_43075_16x7p5_10_r20_7in_10psi_MF52_UM14.tir,2.532343252173311,0.013707537472704022,plots/overlays/Hoosier_43075_16x7p5_10_r20_7in_10psi_lateral.png,5000,6,0.03023653539438438,transient_step_steer_fit,69.64191175217127,scaled_18in_hoosier_long_combined,0.9318983888093484,0.01923412980298334,,5000,reference_radius_mu_scaled_no_round9_longitudinal_transient,95.08286280390897,1.0070655297091065,43075,10.0,9.30363085276784,10.370425617606358,plots/relaxation/Hoosier_43075_16x7p5_10_r20_7in_10psi_lateral_relaxation.png,lat:transient_step_steer_fit;long:reference_radius_mu_scaled_no_round9_longitudinal_transient,7.0,cea60729ae326c60e41f40e7bd264747aee676b0dede754f008d7bfcbc6fa41a,0.3612351615728682,0.20015199749996476,16x7.5-10 R20,2,14
Hoosier,,"4,5,6",2.6000521127349496,2.2576656100690147,Hoosier_43100_18p0x6p0_10_r20_7in,,0.03922791540373015,4500,155.23655117135053,0.05835332751872972,4500,82.93679663244906,1190.2749,196.5451,674.04,Round_9_Hoosier_43075_16x7p5_10_r20_7in_12psi_MF52_UM14.tir,2.45317169446857,0.012155350613966623,plots/overlays/Hoosier_43075_16x7p5_10_r20_7in_12psi_lateral.png,5000,6,0.03237174617408422,transient_step_steer_fit,58.569566272323144,scaled_18in_hoosier_long_combined,0.943508663712175,0.03076707396434499,,5000,reference_radius_mu_scaled_no_round9_longitudinal_transient,146.86653526757894,0.9871751552647993,43075,12.0,15.291366113504461,19.999999999999915,plots/relaxation/Hoosier_43075_16x7p5_10_r20_7in_12psi_lateral_relaxation.png,lat:transient_step_steer_fit;long:reference_radius_mu_scaled_no_round9_longitudinal_transient,7.0,c695ffea1b770436ad4460e2ab20f059a5c8a67d73e7817775b6b48b3641a3ab,0.30994569518844084,0.1991309482598682,16x7.5-10 R20,2,14
Hoosier,,"4,5,6",2.5935846481375235,2.3050621665864384,Hoosier_43100_18p0x6p0_10_r20_7in,,0.03165798111653311,4500,116.138332610388,0.05264912672997758,4500,69.38483626645238,1165.51,197.08474999999999,671.395,Round_9_Hoosier_43075_16x7p5_10_r20_7in_14psi_MF52_UM14.tir,2.37268904718721,0.010892285510284485,plots/overlays/Hoosier_43075_16x7p5_10_r20_7in_14psi_lateral.png,5000,6,0.02611711742871332,transient_step_steer_fit,51.69379038768598,scaled_18in_hoosier_long_combined,0.9148300013616519,0.019773287231635624,,5000,reference_radius_mu_scaled_no_round9_longitudinal_transient,85.38833083590387,1.0500889388761143,43075,14.0,12.975714248044806,19.999999999999996,plots/relaxation/Hoosier_43075_16x7p5_10_r20_7in_14psi_lateral_relaxation.png,lat:transient_step_steer_fit;long:reference_radius_mu_scaled_no_round9_longitudinal_transient,7.0,05ee2188f42bc44fb9a4d78e816fadd60250536b82d550e813010e9af9cea5f5,0.26300899104266384,0.1981287627255928,16x7.5-10 R20,2,14
Hoosier,,"8,9",2.7916472748751286,2.3874547169187004,Hoosier_43100_18p0x6p0_10_r20_7in,,0.04625253861541251,4500,197.45463123881987,0.06153047346657869,4500,96.08232630223804,1194.1202000000003,206.0621,668.635,Round_9_Hoosier_43075_16x7p5_10_r20_8in_8psi_MF52_UM14.tir,2.637628314197638,0.011313435961433287,plots/overlays/Hoosier_43075_16x7p5_10_r20_8in_8psi_lateral.png,5000,0,nan,"transient_step_steer_pressure_extrapolated_from:10,12",57.86081464217654,scaled_18in_hoosier_long_combined,0.9448286457735317,0.02318021397199719,,5000,reference_radius_mu_scaled_no_round9_longitudinal_transient,116.59216475934709,1.1169882615414755,43075,8.0,14.497819558586556,19.99999999999985,,"lat:transient_step_steer_pressure_extrapolated_from:10,12;long:reference_radius_mu_scaled_no_round9_longitudinal_transient",8.0,d286bc49da4ff0c037f25941558525a7a47174c8ec2cd15aae87c850ac0cadf6,0.29386104082840997,0.20491799802730212,16x7.5-10 R20,7,14
Hoosier,,"8,9",2.7174027582650844,2.309294295909162,Hoosier_43100_18p0x6p0_10_r20_7in,,0.03724784575578408,4500,154.0151862194477,0.054905512639615066,4500,78.91412850980852,1176.1846,206.2272,673.8399999999999,Round_9_Hoosier_43075_16x7p5_10_r20_8in_10psi_MF52_UM14.tir,2.514046312308413,0.009105537858104676,plots/overlays/Hoosier_43075_16x7p5_10_r20_8in_10psi_lateral.png,5000,6,0.020940653604096363,transient_step_steer_fit,46.420751338108424,scaled_18in_hoosier_long_combined,0.9251651433199753,0.01923412980298334,,5000,reference_radius_mu_scaled_no_round9_longitudinal_transient,95.08286280390897,1.055527860042576,43075,10.0,13.155109082900706,19.999999999999947,plots/relaxation/Hoosier_43075_16x7p5_10_r20_8in_10psi_lateral_relaxation.png,lat:transient_step_steer_fit;long:reference_radius_mu_scaled_no_round9_longitudinal_transient,8.0,f278f1811b4635c9bf674663531ae6ed42fd3749e1d45f23887e0dfd408deda5,0.2666452035556539,0.19942760752381725,16x7.5-10 R20,7,14
Hoosier,,"8,9",2.6000521127349496,2.2576656100690147,Hoosier_43100_18p0x6p0_10_r20_7in,,0.03922791540373015,4500,155.23655117135053,0.05835332751872972,4500,82.93679663244906,1153.2321,202.8748,675.6800000000001,Round_9_Hoosier_43075_16x7p5_10_r20_8in_12psi_MF52_UM14.tir,2.4329998714628362,0.012146719337028525,plots/overlays/Hoosier_43075_16x7p5_10_r20_8in_12psi_lateral.png,5000,6,0.027995303607365046,transient_step_steer_fit,59.410594235032484,scaled_18in_hoosier_long_combined,0.9357504257495848,0.03076707396434499,,5000,reference_radius_mu_scaled_no_round9_longitudinal_transient,146.86653526757894,1.0171074400030256,43075,12.0,11.812398607214693,19.99999999999976,plots/relaxation/Hoosier_43075_16x7p5_10_r20_8in_12psi_lateral_relaxation.png,lat:transient_step_steer_fit;long:reference_radius_mu_scaled_no_round9_longitudinal_transient,8.0,30c9f65cd38f87cc2d581ee0b03dbc5c48357399ab3a96de7c7ba79258fa770f,0.2394293662828982,0.19831055608448522,16x7.5-10 R20,7,14
Hoosier,,"8,9",2.5935846481375235,2.3050621665864384,Hoosier_43100_18p0x6p0_10_r20_7in,,0.03165798111653311,4500,116.138332610388,0.05264912672997758,4500,69.38483626645238,1144.51,201.78535,674.31,Round_9_Hoosier_43075_16x7p5_10_r20_8in_14psi_MF52_UM14.tir,2.405282419534634,0.00942112192652884,plots/overlays/Hoosier_43075_16x7p5_10_r20_8in_14psi_lateral.png,5000,0,nan,"transient_step_steer_pressure_extrapolated_from:10,12",45.53502381739451,scaled_18in_hoosier_long_combined,0.9273969219635414,0.019773287231635624,,5000,reference_radius_mu_scaled_no_round9_longitudinal_transient,85.38833083590387,0.9999209145587178,43075,14.0,10.469688131528853,19.99999999999985,,"lat:transient_step_steer_pressure_extrapolated_from:10,12;long:reference_radius_mu_scaled_no_round9_longitudinal_transient",8.0,506992d207e036d3aef114c7e97120c900c6b8b86365ba2526e3f0a7be8b8702,0.2122135290101425,0.19948495780787076,16x7.5-10 R20,7,14
Hoosier,,"11,12",2.7821635082677405,2.734166770218612,Hoosier_43100_18p0x6p0_10_r20_6in,,0.06712611850050197,4500,300.0206229577639,0.0874824963826706,4500,126.74805257657208,1228.0632,200.8304,653.595,Round_9_Hoosier_43070_16x6p0_10_r20_6in_8psi_MF52_UM14.tir,2.5654023450690056,0.014634176186923252,plots/overlays/Hoosier_43070_16x6p0_10_r20_6in_8psi_lateral.png,5000,0,nan,"transient_step_steer_pressure_extrapolated_from:10,12,14",62.535200707246055,scaled_18in_hoosier_long_combined,0.9220889920543538,0.024614356569811275,,5000,reference_radius_mu_scaled_no_round9_longitudinal_transient,136.42868959859473,0.9078514199796252,43070,8.0,8.583310290507198,8.739761844761214,,"lat:transient_step_steer_pressure_extrapolated_from:10,12,14;long:reference_radius_mu_scaled_no_round9_longitudinal_transient",6.0,d1372963ebb9cf231d2961cb846bc586ffe9b42de5dab9d74dfd4e10c882e55f,0.3939672262507147,0.2166381438224317,16x6.0-10 R20,10,14
Hoosier,,"11,12",2.859239616790933,2.2447570763318256,Hoosier_43100_18p0x6p0_10_r20_6in,,0.05339555534457468,4500,229.94598345586314,0.06101933230892392,4500,91.57628844592529,1215.2919,200.27905,666.155,Round_9_Hoosier_43070_16x6p0_10_r20_6in_10psi_MF52_UM14.tir,2.488408697479927,0.011753396960024452,plots/overlays/Hoosier_43070_16x6p0_10_r20_6in_10psi_lateral.png,5000,6,0.01275219851228465,transient_step_steer_fit,54.597943241130466,scaled_18in_hoosier_long_combined,0.8703043574475902,0.018686563875269173,,5000,reference_radius_mu_scaled_no_round9_longitudinal_transient,91.06572692729195,0.93663925396028,43070,10.0,4.745968775728351,5.375727446552354,plots/relaxation/Hoosier_43070_16x6p0_10_r20_6in_10psi_lateral_relaxation.png,lat:transient_step_steer_fit;long:reference_radius_mu_scaled_no_round9_longitudinal_transient,6.0,ddedc0bbe34e275400eee629076e35812936ea30f5b217974adfc52b94a13ce9,0.34679051247488496,0.19070244468526634,16x6.0-10 R20,10,14
Hoosier,,"11,12",2.613129166862291,2.2942621025998506,Hoosier_43100_18p0x6p0_10_r20_6in,,0.04656583035101348,4500,190.33445553706719,0.05980188843306695,4500,85.04309940384006,1186.3162499999999,195.9375,676.5550000000001,Round_9_Hoosier_43070_16x6p0_10_r20_6in_12psi_MF52_UM14.tir,2.4032977109264233,0.012881830477585085,plots/overlays/Hoosier_43070_16x6p0_10_r20_6in_12psi_lateral.png,5000,6,0.016293543335340707,transient_step_steer_fit,59.01478282079289,scaled_18in_hoosier_long_combined,0.9197010776976545,0.03912068266469811,,5000,reference_radius_mu_scaled_no_round9_longitudinal_transient,197.2109799758897,0.8709178211511913,43070,12.0,6.749811730527442,8.739761844761214,plots/relaxation/Hoosier_43070_16x6p0_10_r20_6in_12psi_lateral_relaxation.png,lat:transient_step_steer_fit;long:reference_radius_mu_scaled_no_round9_longitudinal_transient,6.0,469b9a6ff0d5489c3e65dd6a5eed0552317afb1370b8702c6e9b05a030a28e60,0.30981107698406385,0.19818960413709444,16x6.0-10 R20,10,14
Hoosier,,"11,12",2.540163972859908,2.3360471323541563,Hoosier_43100_18p0x6p0_10_r20_6in,,0.03700306577552764,4500,143.88762386777694,0.05871014963294662,4500,78.80965742501036,1168.0671,198.11835,675.39,Round_9_Hoosier_43070_16x6p0_10_r20_6in_14psi_MF52_UM14.tir,2.5147997463014717,0.010881417095740418,plots/overlays/Hoosier_43070_16x6p0_10_r20_6in_14psi_lateral.png,5000,6,0.012391538416820072,transient_step_steer_fit,48.81180096027834,scaled_18in_hoosier_long_combined,0.9900147286437264,0.018856187755237074,,5000,reference_radius_mu_scaled_no_round9_longitudinal_transient,85.57602683944958,0.8729420733746862,43070,14.0,12.70568717401052,19.99999999999999,plots/relaxation/Hoosier_43070_16x6p0_10_r20_6in_14psi_lateral_relaxation.png,lat:transient_step_steer_fit;long:reference_radius_mu_scaled_no_round9_longitudinal_transient,6.0,cf322696bf5aaa1a8376020e4781ab378872dbcf33ca6facafbc3dd5a383ed05,0.25753572406572955,0.20749022190426344,16x6.0-10 R20,10,14
Hoosier,,"14,15",2.7916472748751286,2.3874547169187004,Hoosier_43100_18p0x6p0_10_r20_7in,,0.04625253861541251,4500,197.45463123881987,0.06153047346657869,4500,96.08232630223804,1178.3464,200.5104,666.5,Round_9_Hoosier_43070_16x6p0_10_r20_7in_8psi_MF52_UM14.tir,2.4158942004743396,0.010362718937866132,plots/overlays/Hoosier_43070_16x6p0_10_r20_7in_8psi_lateral.png,5000,0,nan,"transient_step_steer_pressure_extrapolated_from:10,12,14",48.01907789585222,scaled_18in_hoosier_long_combined,0.8654009488295412,0.02318021397199719,,5000,reference_radius_mu_scaled_no_round9_longitudinal_transient,116.59216475934709,0.9394569487184333,43070,8.0,6.005966181879253,9.451737958332185,,"lat:transient_step_steer_pressure_extrapolated_from:10,12,14;long:reference_radius_mu_scaled_no_round9_longitudinal_transient",7.0,4fa6caced03c38c6e8202503e8820cdf1973150c32c1e7ef5cd7d02157099c3b,0.2553821393635799,0.1961156545959512,16x6.0-10 R20,13,14
Hoosier,,"14,15",2.7174027582650844,2.309294295909162,Hoosier_43100_18p0x6p0_10_r20_7in,,0.03724784575578408,4500,154.0151862194477,0.054905512639615066,4500,78.91412850980852,1163.6906999999999,197.7866,672.39,Round_9_Hoosier_43070_16x6p0_10_r20_7in_10psi_MF52_UM14.tir,2.4253231345388513,0.009854908669972039,plots/overlays/Hoosier_43070_16x6p0_10_r20_7in_10psi_lateral.png,5000,6,0.008066830256017715,transient_step_steer_fit,47.697521444856584,scaled_18in_hoosier_long_combined,0.8925151515218488,0.01923412980298334,,5000,reference_radius_mu_scaled_no_round9_longitudinal_transient,95.08286280390897,0.9021768437807703,43070,10.0,11.467300083918387,19.999999999999996,plots/relaxation/Hoosier_43070_16x6p0_10_r20_7in_10psi_lateral_relaxation.png,lat:transient_step_steer_fit;long:reference_radius_mu_scaled_no_round9_longitudinal_transient,7.0,c68bd735ac028711840475b10fa59d6ece44c5b3aea129b9b9bf27b2a2ae359a,0.23243445157628095,0.19587700142183054,16x6.0-10 R20,13,14
Hoosier,,"14,15",2.6000521127349496,2.2576656100690147,Hoosier_43100_18p0x6p0_10_r20_7in,,0.03922791540373015,4500,155.23655117135053,0.05835332751872972,4500,82.93679663244906,1153.53675,188.16549999999998,669.905,Round_9_Hoosier_43070_16x6p0_10_r20_7in_12psi_MF52_UM14.tir,2.3538356122868094,0.012395458024810471,plots/overlays/Hoosier_43070_16x6p0_10_r20_7in_12psi_lateral.png,5000,6,0.012643453356264907,transient_step_steer_fit,57.27106938939849,scaled_18in_hoosier_long_combined,0.9053032440226172,0.03076707396434499,,5000,reference_radius_mu_scaled_no_round9_longitudinal_transient,146.86653526757894,0.8863219833936706,43070,12.0,4.534218718685534,8.716017102362516,plots/relaxation/Hoosier_43070_16x6p0_10_r20_7in_12psi_lateral_relaxation.png,lat:transient_step_steer_fit;long:reference_radius_mu_scaled_no_round9_longitudinal_transient,7.0,7ee5539c498fcf4ea4d7786ab49704a039995f3b61e4a1e979c50452f48f6764,0.20866934518639943,0.19505758995205152,16x6.0-10 R20,13,14
Hoosier,,"14,15",2.5935846481375235,2.3050621665864384,Hoosier_43100_18p0x6p0_10_r20_7in,,0.03165798111653311,4500,116.138332610388,0.05264912672997758,4500,69.38483626645238,1151.7179,192.13604999999998,678.615,Round_9_Hoosier_43070_16x6p0_10_r20_7in_14psi_MF52_UM14.tir,2.416275372441329,0.009918743401914062,plots/overlays/Hoosier_43070_16x6p0_10_r20_7in_14psi_lateral.png,5000,6,0.0037999758530333017,transient_step_steer_fit,44.84647747375002,scaled_18in_hoosier_long_combined,0.9316354390732835,0.019773287231635624,,5000,reference_radius_mu_scaled_no_round9_longitudinal_transient,85.38833083590387,0.8880748869016973,43070,14.0,4.377333084487267,9.451737958332185,plots/relaxation/Hoosier_43070_16x6p0_10_r20_7in_14psi_lateral_relaxation.png,lat:transient_step_steer_fit;long:reference_radius_mu_scaled_no_round9_longitudinal_transient,7.0,16365b2e499372ec561a5120390576dbee3af041f157afc28afdcf57d5d2d7b9,0.18613036670039163,0.1999402949508583,16x6.0-10 R20,13,14
Hoosier,plots/overlays/Hoosier_43100_18p0x6p0_10_r20_6in_8psi_combined.png,"28,29",nan,nan,,"69,70",0.06712611850050197,4500,300.0206229577639,0.0874824963826706,4500,126.74805257657208,1332.0551,189.4681,635.355,Round_9_Hoosier_43100_18p0x6p0_10_r20_6in_8psi_MF52_UM14.tir,2.7821635082677405,0.015056651933072254,plots/overlays/Hoosier_43100_18p0x6p0_10_r20_6in_8psi_lateral.png,5000,0,nan,"transient_step_steer_pressure_extrapolated_from:10,12,14",62.919617912060424,direct_drive_brake,1.0,0.024614356569811275,plots/overlays/Hoosier_43100_18p0x6p0_10_r20_6in_8psi_longitudinal.png,5000,reference_radius_mu_scaled_no_round9_longitudinal_transient,136.42868959859473,1.0,43100,8.0,6.008929540136918,5.4052667610073195,,"lat:transient_step_steer_pressure_extrapolated_from:10,12,14;long:reference_radius_mu_scaled_no_round9_longitudinal_transient",6.0,27cffbe55a40faea85e51da6ef31aa30622ffd9190e94b3d1fe62e607afd06e8,0.491439920706388,0.2538055003482026,18.0x6.0-10 R20,27,14
Hoosier,plots/overlays/Hoosier_43100_18p0x6p0_10_r20_6in_10psi_combined.png,"28,29",nan,nan,,"69,70",0.05339555534457468,4500,229.94598345586314,0.06101933230892392,4500,91.57628844592529,1345.21,189.0716,653.56,Round_9_Hoosier_43100_18p0x6p0_10_r20_6in_10psi_MF52_UM14.tir,2.859239616790933,0.013472385271625562,plots/overlays/Hoosier_43100_18p0x6p0_10_r20_6in_10psi_lateral.png,5000,6,0.02989129025665758,transient_step_steer_fit,62.99770881800797,direct_drive_brake,1.0,0.018686563875269173,plots/overlays/Hoosier_43100_18p0x6p0_10_r20_6in_10psi_longitudinal.png,5000,reference_radius_mu_scaled_no_round9_longitudinal_transient,91.06572692729195,1.0,43100,10.0,5.234664944325981,5.4052667610073195,plots/relaxation/Hoosier_43100_18p0x6p0_10_r20_6in_10psi_lateral_relaxation.png,lat:transient_step_steer_fit;long:reference_radius_mu_scaled_no_round9_longitudinal_transient,6.0,69ea072cfca916edb693839f6c3828782d2d272098e09d5f8c313bf9a5fe95c1,0.42811673992527,0.22997106896391203,18.0x6.0-10 R20,27,14
